,Attack,Annotation
10,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (96.9%)</font> </br></br> <b>Original:</b> this is one of those rare <font color = green>docs</font> that paints a <font color = green>grand</font> <font color = green>picture</font> of an <font color = green>era</font> and makes the <font color = green>journey</font> feel like a party . </br></br> <b>Perturbed:</b> this is one of those rare <font color = red>doctor</font> that paints a <font color = red>gargantuan</font> <font color = red>filming</font> of an <font color = red>period</font> and makes the <font color = red>trip</font> feel like a party .,I DON'T KNOW
11,<font color = green>POS (99.92%)</font> --> <font color = red>NEG (99.25%)</font> </br></br> <b>Original:</b> . . . one of the most <font color = green>entertaining</font> monster <font color = green>movies</font> in <font color = green>ages</font> . . . </br></br> <b>Perturbed:</b> . . . one of the most <font color = red>distraction</font> monster <font color = red>cinematographer</font> in <font color = red>seniority</font> . . .,INCONSISTENT
12,"<font color = green>POS (99.75%)</font> --> <font color = red>NEG (75.12%)</font> </br></br> <b>Original:</b> <font color = green>ice</font> <font color = green>age</font> won't drop your <font color = green>jaw</font> , but it <font color = green>will</font> <font color = green>warm</font> your heart , and i'm giving it a <font color = green>strong</font> thumbs up . </br></br> <b>Perturbed:</b> <font color = red>frosted</font> <font color = red>seniority</font> won't drop your <font color = red>chin</font> , but it <font color = red>desired</font> <font color = red>soured</font> your heart , and i'm giving it a <font color = red>severe</font> thumbs up .",I DON'T KNOW
13,"<font color = red>NEG (99.88%)</font> --> <font color = green>POS (63.7%)</font> </br></br> <b>Original:</b> the dramatic scenes are frequently <font color = red>unintentionally</font> funny , and the action sequences -- <font color = red>clearly</font> the <font color = red>main</font> event -- are surprisingly uninvolving . </br></br> <b>Perturbed:</b> the dramatic scenes are frequently <font color = green>unconsciously</font> funny , and the action sequences -- <font color = green>soberly</font> the <font color = green>momentous</font> event -- are surprisingly uninvolving .",CONSISTENT
14,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (75.0%)</font> </br></br> <b>Original:</b> a quasi-documentary by french filmmaker karim dridi that <font color = green>celebrates</font> the <font color = green>hardy</font> <font color = green>spirit</font> of cuban music . </br></br> <b>Perturbed:</b> a quasi-documentary by french filmmaker karim dridi that <font color = red>commemorates</font> the <font color = red>impervious</font> <font color = red>encyclopedia</font> of cuban music .,CONSISTENT
15,"<font color = red>NEG (99.95%)</font> --> <font color = green>POS (99.48%)</font> </br></br> <b>Original:</b> a <font color = red>mediocre</font> <font color = red>exercise</font> in <font color = red>target</font> demographics , <font color = red>unaware</font> that it's the <font color = red>butt</font> of its <font color = red>own</font> <font color = red>joke</font> . </br></br> <b>Perturbed:</b> a <font color = green>destitute</font> <font color = green>exercises</font> in <font color = green>targeting</font> demographics , <font color = green>unwise</font> that it's the <font color = green>derriere</font> of its <font color = green>unique</font> <font color = green>comedy</font> .",I DON'T KNOW
16,"<font color = red>NEG (98.2%)</font> --> <font color = green>POS (95.78%)</font> </br></br> <b>Original:</b> with <font color = red>nary</font> a glimmer of self-knowledge , [crane] becomes more specimen than character -- and auto focus remains a chilly , clinical lab report . </br></br> <b>Perturbed:</b> with <font color = green>whimper</font> a glimmer of self-knowledge , [crane] becomes more specimen than character -- and auto focus remains a chilly , clinical lab report .",CONSISTENT
17,"<font color = red>NEG (99.7%)</font> --> <font color = green>POS (69.22%)</font> </br></br> <b>Original:</b> the metaphors are provocative , but too often , the viewer is <font color = red>left</font> <font color = red>puzzled</font> by the mechanics of the delivery . </br></br> <b>Perturbed:</b> the metaphors are provocative , but too often , the viewer is <font color = green>forgot</font> <font color = green>awed</font> by the mechanics of the delivery .",CONSISTENT
18,"<font color = red>NEG (99.91%)</font> --> <font color = green>POS (91.33%)</font> </br></br> <b>Original:</b> an <font color = red>allegory</font> concerning the chronically <font color = red>mixed</font> signals african <font color = red>american</font> professionals get about overachieving could <font color = red>be</font> intriguing , but the <font color = red>supernatural</font> trappings only <font color = red>obscure</font> the message . </br></br> <b>Perturbed:</b> an <font color = green>antithesis</font> concerning the chronically <font color = green>mix</font> signals african <font color = green>usa</font> professionals get about overachieving could <font color = green>ai</font> intriguing , but the <font color = green>unexplained</font> trappings only <font color = green>spate</font> the message .",CONSISTENT
19,"<font color = green>POS (99.82%)</font> --> <font color = red>NEG (99.91%)</font> </br></br> <b>Original:</b> if borstal boy isn't especially realistic , it is an <font color = green>engaging</font> nostalgia piece . </br></br> <b>Perturbed:</b> if borstal boy isn't especially realistic , it is an <font color = red>commit</font> nostalgia piece .",CONSISTENT
20,"<font color = red>NEG (99.83%)</font> --> <font color = green>POS (79.16%)</font> </br></br> <b>Original:</b> girlfriends are <font color = red>bad</font> , wives are worse and babies are the kiss of <font color = red>death</font> in this bitter italian comedy . </br></br> <b>Perturbed:</b> girlfriends are <font color = green>badly</font> , wives are worse and babies are the kiss of <font color = green>lives</font> in this bitter italian comedy .",INCONSISTENT
21,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.88%)</font> </br></br> <b>Original:</b> an <font color = red>unsophisticated</font> sci-fi drama that takes itself all too <font color = red>seriously</font> . </br></br> <b>Perturbed:</b> an <font color = green>impressionable</font> sci-fi drama that takes itself all too <font color = green>attentively</font> .,INCONSISTENT
22,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (99.92%)</font> </br></br> <b>Original:</b> wonder of wonders -- a teen movie with a humanistic <font color = green>message</font> . </br></br> <b>Perturbed:</b> wonder of wonders -- a teen movie with a humanistic <font color = red>voicemail</font> .,CONSISTENT
23,"<font color = green>POS (99.86%)</font> --> <font color = red>NEG (97.83%)</font> </br></br> <b>Original:</b> a much more <font color = green>successful</font> translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production . </br></br> <b>Perturbed:</b> a much more <font color = red>fecund</font> translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",CONSISTENT
24,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (99.81%)</font> </br></br> <b>Original:</b> michel piccoli's <font color = green>moving</font> performance is this films reason for being . </br></br> <b>Perturbed:</b> michel piccoli's <font color = red>displaced</font> performance is this films reason for being .,CONSISTENT
25,"<font color = green>POS (99.92%)</font> --> <font color = red>NEG (67.28%)</font> </br></br> <b>Original:</b> the <font color = green>film</font> is <font color = green>hard</font> to <font color = green>dismiss</font> -- <font color = green>moody</font> , <font color = green>thoughtful</font> , and lit by flashes of mordant <font color = green>humor</font> . </br></br> <b>Perturbed:</b> the <font color = red>cinematographer</font> is <font color = red>problematic</font> to <font color = red>ejects</font> -- <font color = red>screwball</font> , <font color = red>attentive</font> , and lit by flashes of mordant <font color = red>giggle</font> .",I DON'T KNOW
26,"<font color = green>POS (99.86%)</font> --> <font color = red>NEG (81.6%)</font> </br></br> <b>Original:</b> <font color = green>director</font> roger kumble offers just enough <font color = green>sweet</font> and <font color = green>traditional</font> romantic comedy to counter the crudity . and there's the <font color = green>inimitable</font> diaz , holding it all together . </br></br> <b>Perturbed:</b> <font color = red>manager</font> roger kumble offers just enough <font color = red>gentil</font> and <font color = red>mundane</font> romantic comedy to counter the crudity . and there's the <font color = red>sardonic</font> diaz , holding it all together .",CONSISTENT
27,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (71.26%)</font> </br></br> <b>Original:</b> an <font color = green>engrossing</font> iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed . </br></br> <b>Perturbed:</b> an <font color = red>hallucinatory</font> iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,CONSISTENT
28,"<font color = red>NEG (99.73%)</font> --> <font color = green>POS (92.89%)</font> </br></br> <b>Original:</b> the venezuelans say <font color = red>things</font> like "" <font color = red>si</font> , <font color = red>pretty</font> much "" and "" por favor , go <font color = red>home</font> "" when <font color = red>talking</font> to <font color = red>americans</font> . that's <font color = red>muy</font> loco , but no more <font color = red>ridiculous</font> than most of the <font color = red>rest</font> of "" <font color = red>dragonfly</font> . "" </br></br> <b>Perturbed:</b> the venezuelans say <font color = green>aspects</font> like "" <font color = green>tr</font> , <font color = green>rather</font> much "" and "" por favor , go <font color = green>foyer</font> "" when <font color = green>deliberation</font> to <font color = green>ours</font> . that's <font color = green>bien</font> loco , but no more <font color = green>absurd</font> than most of the <font color = green>persist</font> of "" <font color = green>papillon</font> . """,CONSISTENT
29,"<font color = green>POS (99.87%)</font> --> <font color = red>NEG (62.89%)</font> </br></br> <b>Original:</b> cockettes has the <font color = green>glorious</font> , <font color = green>gaudy</font> benefit of much stock footage of those <font color = green>days</font> , featuring all manner of drag queen , bearded <font color = green>lady</font> and lactating hippie . </br></br> <b>Perturbed:</b> cockettes has the <font color = red>leggy</font> , <font color = red>flaunt</font> benefit of much stock footage of those <font color = red>deadlines</font> , featuring all manner of drag queen , bearded <font color = red>signorina</font> and lactating hippie .",CONSISTENT
30,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (97.26%)</font> </br></br> <b>Original:</b> it's an odd <font color = red>show</font> , pregnant with moods , stillborn except as a <font color = red>harsh</font> <font color = red>conceptual</font> <font color = red>exercise</font> . </br></br> <b>Perturbed:</b> it's an odd <font color = green>proving</font> , pregnant with moods , stillborn except as a <font color = green>grievous</font> <font color = green>metaphysical</font> <font color = green>exerted</font> .",CONSISTENT
31,<font color = red>NEG (99.89%)</font> --> <font color = green>POS (93.02%)</font> </br></br> <b>Original:</b> nearly all the fundamentals you take for granted in most films are <font color = red>mishandled</font> here . </br></br> <b>Perturbed:</b> nearly all the fundamentals you take for granted in most films are <font color = green>deflected</font> here .,CONSISTENT
32,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (97.44%)</font> </br></br> <b>Original:</b> assayas' <font color = green>ambitious</font> , sometimes beautiful <font color = green>adaptation</font> of jacques chardonne's <font color = green>novel</font> . </br></br> <b>Perturbed:</b> assayas' <font color = red>problematic</font> , sometimes beautiful <font color = red>seamstress</font> of jacques chardonne's <font color = red>nova</font> .",INCONSISTENT
33,"<font color = red>NEG (99.34%)</font> --> <font color = green>POS (53.8%)</font> </br></br> <b>Original:</b> if they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it <font color = red>stands</font> i kept <font color = red>looking</font> for the last <font color = red>exit</font> from brooklyn . </br></br> <b>Perturbed:</b> if they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it <font color = green>position</font> i kept <font color = green>seeking</font> for the last <font color = green>outward</font> from brooklyn .",CONSISTENT
34,<font color = red>NEG (99.88%)</font> --> <font color = green>POS (86.38%)</font> </br></br> <b>Original:</b> this director's cut -- which adds 51 minutes -- takes a great film and turns it into a <font color = red>mundane</font> soap opera . </br></br> <b>Perturbed:</b> this director's cut -- which adds 51 minutes -- takes a great film and turns it into a <font color = green>commonplace</font> soap opera .,CONSISTENT
35,"<font color = green>POS (99.93%)</font> --> <font color = red>NEG (99.9%)</font> </br></br> <b>Original:</b> a tightly directed , <font color = green>highly</font> professional <font color = green>film</font> that's old-fashioned in all the best possible ways . </br></br> <b>Perturbed:</b> a tightly directed , <font color = red>excessively</font> professional <font color = red>image</font> that's old-fashioned in all the best possible ways .",CONSISTENT
36,<font color = green>POS (99.81%)</font> --> <font color = red>NEG (96.63%)</font> </br></br> <b>Original:</b> you never <font color = green>know</font> where <font color = green>changing</font> lanes is <font color = green>going</font> to <font color = green>take</font> you but it's a <font color = green>heck</font> of a <font color = green>ride</font> . samuel l . jackson is one of the <font color = green>best</font> <font color = green>actors</font> there is . </br></br> <b>Perturbed:</b> you never <font color = red>acquaintance</font> where <font color = red>changeover</font> lanes is <font color = red>abandoning</font> to <font color = red>assuming</font> you but it's a <font color = red>daemons</font> of a <font color = red>wrinkle</font> . samuel l . jackson is one of the <font color = red>preferable</font> <font color = red>partner</font> there is .,I DON'T KNOW
37,<font color = red>NEG (99.3%)</font> --> <font color = green>POS (99.61%)</font> </br></br> <b>Original:</b> more <font color = red>likely</font> to have you scratching your head than <font color = red>hiding</font> under your seat . </br></br> <b>Perturbed:</b> more <font color = green>capable</font> to have you scratching your head than <font color = green>disguising</font> under your seat .,CONSISTENT
38,<font color = green>POS (99.91%)</font> --> <font color = red>NEG (89.1%)</font> </br></br> <b>Original:</b> throws in enough clever and <font color = green>unexpected</font> <font color = green>twists</font> to <font color = green>make</font> the formula feel fresh . </br></br> <b>Perturbed:</b> throws in enough clever and <font color = red>casual</font> <font color = red>folds</font> to <font color = red>pose</font> the formula feel fresh .,CONSISTENT
39,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (95.42%)</font> </br></br> <b>Original:</b> <font color = red>lacks</font> the <font color = red>spirit</font> of the previous two , and <font color = red>makes</font> all those <font color = red>jokes</font> about <font color = red>hos</font> and even more <font color = red>unmentionable</font> subjects seem like <font color = red>mere</font> <font color = red>splashing</font> around in the <font color = red>muck</font> . </br></br> <b>Perturbed:</b> <font color = green>unaccounted</font> the <font color = green>sentiment</font> of the previous two , and <font color = green>delivers</font> all those <font color = green>comedic</font> about <font color = green>sluts</font> and even more <font color = green>unspeakable</font> subjects seem like <font color = green>singly</font> <font color = green>splatters</font> around in the <font color = green>slime</font> .",CONSISTENT
40,"<font color = red>NEG (99.95%)</font> --> <font color = green>POS (89.04%)</font> </br></br> <b>Original:</b> if hill isn't <font color = red>quite</font> his generation's don <font color = red>siegel</font> ( or robert aldrich ) , it's because there's no <font color = red>discernible</font> <font color = red>feeling</font> <font color = red>beneath</font> the chest hair ; it's all bluster and <font color = red>cliché</font> . </br></br> <b>Perturbed:</b> if hill isn't <font color = green>highly</font> his generation's don <font color = green>zuckerman</font> ( or robert aldrich ) , it's because there's no <font color = green>overt</font> <font color = green>feelings</font> <font color = green>fuse</font> the chest hair ; it's all bluster and <font color = green>cutesy</font> .",CONSISTENT
41,<font color = green>POS (99.54%)</font> --> <font color = red>NEG (99.91%)</font> </br></br> <b>Original:</b> as <font color = green>refreshing</font> as a drink from a woodland stream . </br></br> <b>Perturbed:</b> as <font color = red>retrofit</font> as a drink from a woodland stream .,CONSISTENT
42,"<font color = green>POS (99.93%)</font> --> <font color = red>NEG (98.07%)</font> </br></br> <b>Original:</b> <font color = green>provides</font> a porthole into that noble , trembling incoherence that <font color = green>defines</font> us all . </br></br> <b>Perturbed:</b> <font color = red>entrusts</font> a porthole into that noble , trembling incoherence that <font color = red>stipulated</font> us all .",CONSISTENT
43,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.44%)</font> </br></br> <b>Original:</b> a real <font color = red>snooze</font> . </br></br> <b>Perturbed:</b> a real <font color = green>snuggle</font> .,INCONSISTENT
44,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (51.49%)</font> </br></br> <b>Original:</b> it desperately wants to be a wacky , screwball comedy , but the most <font color = red>screwy</font> thing here is how so many talented people were convinced to <font color = red>waste</font> their time . </br></br> <b>Perturbed:</b> it desperately wants to be a wacky , screwball comedy , but the most <font color = green>wacky</font> thing here is how so many talented people were convinced to <font color = green>loosing</font> their time .",CONSISTENT
45,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (90.95%)</font> </br></br> <b>Original:</b> that death is merely a <font color = green>transition</font> is a <font color = green>common</font> <font color = green>tenet</font> in the world's <font color = green>religions</font> . this <font color = green>deeply</font> spiritual <font color = green>film</font> taps into the <font color = green>meaning</font> and <font color = green>consolation</font> in <font color = green>afterlife</font> <font color = green>communications</font> . </br></br> <b>Perturbed:</b> that death is merely a <font color = red>transient</font> is a <font color = red>ordinary</font> <font color = red>tint</font> in the world's <font color = red>christendom</font> . this <font color = red>mightily</font> spiritual <font color = red>cinematographer</font> taps into the <font color = red>entail</font> and <font color = red>consoling</font> in <font color = red>besides</font> <font color = red>notified</font> .,I DON'T KNOW
46,"<font color = green>POS (97.45%)</font> --> <font color = red>NEG (85.31%)</font> </br></br> <b>Original:</b> this amiable picture talks tough , but it's all bluster -- in the end it's as <font color = green>sweet</font> as greenfingers . . . </br></br> <b>Perturbed:</b> this amiable picture talks tough , but it's all bluster -- in the end it's as <font color = red>soft</font> as greenfingers . . .",CONSISTENT
47,<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.69%)</font> </br></br> <b>Original:</b> another <font color = red>boorish</font> movie from the i-heard-a-joke- at-a-frat-party school of screenwriting . </br></br> <b>Perturbed:</b> another <font color = green>avaricious</font> movie from the i-heard-a-joke- at-a-frat-party school of screenwriting .,CONSISTENT
48,"<font color = red>NEG (98.97%)</font> --> <font color = green>POS (98.59%)</font> </br></br> <b>Original:</b> tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it <font color = red>completely</font> <font color = red>contradicts</font> everything kieslowski's work aspired to , including the condition of art . </br></br> <b>Perturbed:</b> tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it <font color = green>fully</font> <font color = green>contravention</font> everything kieslowski's work aspired to , including the condition of art .",CONSISTENT
49,<font color = green>POS (99.94%)</font> --> <font color = red>NEG (97.45%)</font> </br></br> <b>Original:</b> [<font color = green>grant</font>] goes beyond his usual <font color = green>fluttering</font> and <font color = green>stammering</font> and <font color = green>captures</font> the <font color = green>soul</font> of a <font color = green>man</font> in <font color = green>pain</font> who <font color = green>gradually</font> <font color = green>comes</font> to <font color = green>recognize</font> it and <font color = green>deal</font> with it . </br></br> <b>Perturbed:</b> [<font color = red>subsides</font>] goes beyond his usual <font color = red>twitched</font> and <font color = red>inarticulate</font> and <font color = red>catches</font> the <font color = red>geist</font> of a <font color = red>dawg</font> in <font color = red>agony</font> who <font color = red>consistently</font> <font color = red>happens</font> to <font color = red>appreciate</font> it and <font color = red>handles</font> with it .,I DON'T KNOW
50,"<font color = green>POS (99.92%)</font> --> <font color = red>NEG (69.6%)</font> </br></br> <b>Original:</b> both exuberantly <font color = green>romantic</font> and serenely melancholy , what <font color = green>time</font> is it there ? may <font color = green>prove</font> to be [tsai's] <font color = green>masterpiece</font> . </br></br> <b>Perturbed:</b> both exuberantly <font color = red>soppy</font> and serenely melancholy , what <font color = red>timetables</font> is it there ? may <font color = red>verified</font> to be [tsai's] <font color = red>shaft</font> .",CONSISTENT
51,<font color = green>POS (99.73%)</font> --> <font color = red>NEG (99.95%)</font> </br></br> <b>Original:</b> works as pretty contagious <font color = green>fun</font> . </br></br> <b>Perturbed:</b> works as pretty contagious <font color = red>jest</font> .,CONSISTENT
52,"<font color = red>NEG (99.7%)</font> --> <font color = green>POS (99.78%)</font> </br></br> <b>Original:</b> though there are many tense scenes in trapped , they prove more <font color = red>distressing</font> than <font color = red>suspenseful</font> . </br></br> <b>Perturbed:</b> though there are many tense scenes in trapped , they prove more <font color = green>harrowing</font> than <font color = green>nightmarish</font> .",CONSISTENT
53,"<font color = green>POS (99.9%)</font> --> <font color = red>NEG (96.79%)</font> </br></br> <b>Original:</b> <font color = green>bittersweet</font> comedy/drama full of life , hand gestures , and some really adorable italian guys . </br></br> <b>Perturbed:</b> <font color = red>maudlin</font> comedy/drama full of life , hand gestures , and some really adorable italian guys .",CONSISTENT
54,"<font color = green>POS (99.95%)</font> --> <font color = red>NEG (98.18%)</font> </br></br> <b>Original:</b> a <font color = green>journey</font> spanning <font color = green>nearly</font> <font color = green>three</font> decades of bittersweet <font color = green>camaraderie</font> and history , in which we feel that we <font color = green>truly</font> know what <font color = green>makes</font> holly and marina tick , and our hearts go out to them as both <font color = green>continue</font> to negotiate their imperfect , love-hate relationship . </br></br> <b>Perturbed:</b> a <font color = red>displacement</font> spanning <font color = red>barely</font> <font color = red>two</font> decades of bittersweet <font color = red>friendship</font> and history , in which we feel that we <font color = red>awfully</font> know what <font color = red>paid</font> holly and marina tick , and our hearts go out to them as both <font color = red>ceaseless</font> to negotiate their imperfect , love-hate relationship .",INCONSISTENT
55,"<font color = green>POS (99.61%)</font> --> <font color = red>NEG (61.19%)</font> </br></br> <b>Original:</b> although <font color = green>melodramatic</font> and predictable , this romantic comedy <font color = green>explores</font> the friendship between five filipino-americans and their frantic efforts to find love . </br></br> <b>Perturbed:</b> although <font color = red>bombastic</font> and predictable , this romantic comedy <font color = red>examining</font> the friendship between five filipino-americans and their frantic efforts to find love .",CONSISTENT
56,"<font color = red>NEG (99.79%)</font> --> <font color = green>POS (63.2%)</font> </br></br> <b>Original:</b> [lin chung's] voice is rather unexceptional , even <font color = red>irritating</font> ( at least to this western ear ) , making it <font color = red>awfully</font> hard to buy the <font color = red>impetus</font> for the complicated love triangle that develops between the three central characters . </br></br> <b>Perturbed:</b> [lin chung's] voice is rather unexceptional , even <font color = green>maddening</font> ( at least to this western ear ) , making it <font color = green>astonishingly</font> hard to buy the <font color = green>stimulating</font> for the complicated love triangle that develops between the three central characters .",CONSISTENT
57,<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.86%)</font> </br></br> <b>Original:</b> an extraordinarily <font color = red>silly</font> thriller . </br></br> <b>Perturbed:</b> an extraordinarily <font color = green>knucklehead</font> thriller .,CONSISTENT
58,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (99.84%)</font> </br></br> <b>Original:</b> charlotte <font color = green>sometimes</font> is a gem . it's <font color = green>always</font> <font color = green>enthralling</font> . </br></br> <b>Perturbed:</b> charlotte <font color = red>rarely</font> is a gem . it's <font color = red>stubbornly</font> <font color = red>puzzling</font> .,INCONSISTENT
59,"<font color = red>NEG (99.78%)</font> --> <font color = green>POS (62.17%)</font> </br></br> <b>Original:</b> fessenden continues to <font color = red>do</font> interesting <font color = red>work</font> , and it would <font color = red>be</font> <font color = red>nice</font> to <font color = red>see</font> what he could make with a <font color = red>decent</font> <font color = red>budget</font> . but the problem with wendigo , for all its <font color = red>effective</font> <font color = red>moments</font> , isn't <font color = red>really</font> one of resources . </br></br> <b>Perturbed:</b> fessenden continues to <font color = green>making</font> interesting <font color = green>working</font> , and it would <font color = green>is</font> <font color = green>leggy</font> to <font color = green>considering</font> what he could make with a <font color = green>advantageous</font> <font color = green>budgetary</font> . but the problem with wendigo , for all its <font color = green>advantageous</font> <font color = green>lengths</font> , isn't <font color = green>awfully</font> one of resources .",CONSISTENT
60,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (97.38%)</font> </br></br> <b>Original:</b> a film of delicate <font color = green>interpersonal</font> <font color = green>dances</font> . <font color = green>caine</font> makes <font color = green>us</font> <font color = green>watch</font> as his <font color = green>character</font> <font color = green>awakens</font> to the <font color = green>notion</font> that to <font color = green>be</font> human is <font color = green>eventually</font> to <font color = green>have</font> to <font color = green>choose</font> . it's a <font color = green>sight</font> to <font color = green>behold</font> . </br></br> <b>Perturbed:</b> a film of delicate <font color = red>personal</font> <font color = red>cheer</font> . <font color = red>jia</font> makes <font color = red>our</font> <font color = red>monitoring</font> as his <font color = red>specifications</font> <font color = red>stirs</font> to the <font color = red>inkling</font> that to <font color = red>fi</font> human is <font color = red>probably</font> to <font color = red>got</font> to <font color = red>options</font> . it's a <font color = red>brainchild</font> to <font color = red>presume</font> .,I DON'T KNOW
61,<font color = red>NEG (99.51%)</font> --> <font color = green>POS (98.49%)</font> </br></br> <b>Original:</b> the story alone could <font color = red>force</font> you to scratch a hole in your head . </br></br> <b>Perturbed:</b> the story alone could <font color = green>vigour</font> you to scratch a hole in your head .,CONSISTENT
62,"<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.16%)</font> </br></br> <b>Original:</b> it's <font color = red>really</font> just another silly hollywood <font color = red>action</font> <font color = red>film</font> , one among a <font color = red>multitude</font> of simple-minded , yahoo-ing <font color = red>death</font> <font color = red>shows</font> . </br></br> <b>Perturbed:</b> it's <font color = green>truly</font> just another silly hollywood <font color = green>acts</font> <font color = green>cinematography</font> , one among a <font color = green>richness</font> of simple-minded , yahoo-ing <font color = green>fatalities</font> <font color = green>indicates</font> .",CONSISTENT
